+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| STATUS     | CVE SEVERITY          | PACKAGE NAME           | PACKAGE VERSION    | CVE DESCRIPTION                                 |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4451 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2022:0368 | rpm-libs               | 4.14.3-13.el8      | The RPM Package Manager (RPM) is a command-line |
|            |                       |                        |                    | driven package management system capable        |
|            |                       |                        |                    | of installing, uninstalling, verifying,         |
|            |                       |                        |                    | querying, and updating software packages.       |
|            |                       |                        |                    | Security Fix(es): * rpm: RPM does not           |
|            |                       |                        |                    | require subkeys to have a valid binding         |
|            |                       |                        |                    | signature (CVE-2021-3521) For more details      |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2022:0368 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4464 | python3-libdnf         | 0.55.0-7.el8       | dnf is a package manager that allows users to   |
|            |                       |                        |                    | manage packages on their systems. It supports   |
|            |                       |                        |                    | RPMs, modules and comps groups & environments.  |
|            |                       |                        |                    | Security Fix(es): * libdnf: Signature           |
|            |                       |                        |                    | verification bypass via signature placed in     |
|            |                       |                        |                    | the main RPM header (CVE-2021-3445) For more    |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4464 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:3576 | krb5-libs              | 1.18.2-8.el8       | Kerberos is a network authentication system,    |
|            |                       |                        |                    | which can improve the security of your network  |
|            |                       |                        |                    | by eliminating the insecure practice of sending |
|            |                       |                        |                    | passwords over the network in unencrypted form. |
|            |                       |                        |                    | It allows clients and servers to authenticate   |
|            |                       |                        |                    | to each other with the help of a trusted third  |
|            |                       |                        |                    | party, the Kerberos key distribution center     |
|            |                       |                        |                    | (KDC). Security Fix(es): * krb5: Sending a      |
|            |                       |                        |                    | request containing PA-ENCRYPTED-CHALLENGE       |
|            |                       |                        |                    | padata element without using FAST could         |
|            |                       |                        |                    | result in NULL dereference in KDC which         |
|            |                       |                        |                    | leads to DoS (CVE-2021-36222) * krb5: NULL      |
|            |                       |                        |                    | pointer dereference in process_tgs_req() in     |
|            |                       |                        |                    | kdc/do_tgs_req.c via a FAST inner body that     |
|            |                       |                        |                    | lacks server field (CVE-2021-37750) For more    |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to the     |
|            |                       |                        |                    | CVE page(s) listed in the References section.   |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:3576 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4396 | sqlite-libs            | 3.26.0-13.el8      | SQLite is a C library that implements an SQL    |
|            |                       |                        |                    | database engine. A large subset of SQL92 is     |
|            |                       |                        |                    | supported. A complete database is stored in     |
|            |                       |                        |                    | a single disk file. The API is designed for     |
|            |                       |                        |                    | convenience and ease of use. Applications       |
|            |                       |                        |                    | that link against SQLite can enjoy the power    |
|            |                       |                        |                    | and flexibility of an SQL database without      |
|            |                       |                        |                    | the administrative hassles of supporting a      |
|            |                       |                        |                    | separate database server. Security Fix(es):     |
|            |                       |                        |                    | * sqlite: out-of-bounds access due to the       |
|            |                       |                        |                    | use of 32-bit memory allocator interfaces       |
|            |                       |                        |                    | (CVE-2019-5827) * sqlite: dropping of shadow    |
|            |                       |                        |                    | tables not restricted in defensive mode         |
|            |                       |                        |                    | (CVE-2019-13750) * sqlite: fts3: improve        |
|            |                       |                        |                    | detection of corrupted records (CVE-2019-13751) |
|            |                       |                        |                    | * sqlite: mishandling of certain SELECT         |
|            |                       |                        |                    | statements with non-existent VIEW can lead to   |
|            |                       |                        |                    | DoS (CVE-2019-19603) * sqlite: NULL pointer     |
|            |                       |                        |                    | dereference in sqlite3ExprCodeTarget()          |
|            |                       |                        |                    | (CVE-2020-13435) For more details about         |
|            |                       |                        |                    | the security issue(s), including the            |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments,          |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4396 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4451 | nettle                 | 3.4.1-2.el8        | The gnutls packages provide the GNU Transport   |
|            |                       |                        |                    | Layer Security (GnuTLS) library, which          |
|            |                       |                        |                    | implements cryptographic algorithms and         |
|            |                       |                        |                    | protocols such as SSL, TLS, and DTLS. Nettle    |
|            |                       |                        |                    | is a cryptographic library that is designed     |
|            |                       |                        |                    | to fit easily in almost any context: In crypto  |
|            |                       |                        |                    | toolkits for object-oriented languages, such    |
|            |                       |                        |                    | as C++, Python, or Pike, in applications        |
|            |                       |                        |                    | like LSH or GNUPG, or even in kernel space.     |
|            |                       |                        |                    | The following packages have been upgraded to    |
|            |                       |                        |                    | a later upstream version: gnutls (3.6.16).      |
|            |                       |                        |                    | (BZ#1956783) Security Fix(es): * nettle:        |
|            |                       |                        |                    | Remote crash in RSA decryption via manipulated  |
|            |                       |                        |                    | ciphertext (CVE-2021-3580) * gnutls: Use        |
|            |                       |                        |                    | after free in client key_share extension        |
|            |                       |                        |                    | (CVE-2021-20231) * gnutls: Use after free in    |
|            |                       |                        |                    | client_send_params in lib/ext/pre_shared_key.c  |
|            |                       |                        |                    | (CVE-2021-20232) For more details about         |
|            |                       |                        |                    | the security issue(s), including the            |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments,          |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4451 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4059 | libcurl-minimal        | 7.61.1-18.el8      | The curl packages provide the libcurl library   |
|            |                       |                        |                    | and the curl utility for downloading files      |
|            |                       |                        |                    | from servers using various protocols, including |
|            |                       |                        |                    | HTTP, FTP, and LDAP. Security Fix(es): *        |
|            |                       |                        |                    | curl: Requirement to use TLS not properly       |
|            |                       |                        |                    | enforced for IMAP, POP3, and FTP protocols      |
|            |                       |                        |                    | (CVE-2021-22946) * curl: Server responses       |
|            |                       |                        |                    | received before STARTTLS processed after TLS    |
|            |                       |                        |                    | handshake (CVE-2021-22947) For more details     |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4059 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4382 | json-c                 | 0.13.1-0.4.el8     | JSON-C implements a reference counting          |
|            |                       |                        |                    | object model that allows users to easily        |
|            |                       |                        |                    | construct JavaScript Object Notation (JSON)     |
|            |                       |                        |                    | objects in C, output them as JSON formatted     |
|            |                       |                        |                    | strings, and parse JSON formatted strings       |
|            |                       |                        |                    | back into the C representation of JSON          |
|            |                       |                        |                    | objects. Security Fix(es): * json-c: integer    |
|            |                       |                        |                    | overflow and out-of-bounds write via a large    |
|            |                       |                        |                    | JSON file (CVE-2020-12762) For more details     |
|            |                       |                        |                    | about the security issue(s), including          |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4382 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:3582 | libcurl-minimal        | 7.61.1-18.el8      | The curl packages provide the libcurl           |
|            |                       |                        |                    | library and the curl utility for downloading    |
|            |                       |                        |                    | files from servers using various protocols,     |
|            |                       |                        |                    | including HTTP, FTP, and LDAP. Security         |
|            |                       |                        |                    | Fix(es): * curl: Content not matching           |
|            |                       |                        |                    | hash in Metalink is not being discarded         |
|            |                       |                        |                    | (CVE-2021-22922) * curl: Metalink download      |
|            |                       |                        |                    | sends credentials (CVE-2021-22923) * curl:      |
|            |                       |                        |                    | Bad connection reuse due to flawed path name    |
|            |                       |                        |                    | checks (CVE-2021-22924) For more details        |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:3582 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4358 | glibc-common           | 2.28-151.el8       | The glibc packages provide the standard C       |
|            |                       |                        |                    | libraries (libc), POSIX thread libraries        |
|            |                       |                        |                    | (libpthread), standard math libraries           |
|            |                       |                        |                    | (libm), and the name service cache daemon       |
|            |                       |                        |                    | (nscd) used by multiple programs on the         |
|            |                       |                        |                    | system. Without these libraries, the Linux      |
|            |                       |                        |                    | system cannot function correctly. Security      |
|            |                       |                        |                    | Fix(es): * glibc: Arbitrary read in wordexp()   |
|            |                       |                        |                    | (CVE-2021-35942) * glibc: Use-after-free in     |
|            |                       |                        |                    | addgetnetgrentX function in netgroupcache.c     |
|            |                       |                        |                    | (CVE-2021-27645) * glibc: mq_notify does        |
|            |                       |                        |                    | not handle separately allocated thread          |
|            |                       |                        |                    | attributes (CVE-2021-33574) For more details    |
|            |                       |                        |                    | about the security issue(s), including          |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4358 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2022:0896 | glibc-common           | 2.28-151.el8       | The glibc packages provide the standard C       |
|            |                       |                        |                    | libraries (libc), POSIX thread libraries        |
|            |                       |                        |                    | (libpthread), standard math libraries (libm),   |
|            |                       |                        |                    | and the name service cache daemon (nscd) used   |
|            |                       |                        |                    | by multiple programs on the system. Without     |
|            |                       |                        |                    | these libraries, the Linux system cannot        |
|            |                       |                        |                    | function correctly. Security Fix(es): *         |
|            |                       |                        |                    | glibc: Off-by-one buffer overflow/underflow in  |
|            |                       |                        |                    | getcwd() (CVE-2021-3999) * glibc: Stack-based   |
|            |                       |                        |                    | buffer overflow in svcunix_create via long      |
|            |                       |                        |                    | pathnames (CVE-2022-23218) * glibc: Stack-based |
|            |                       |                        |                    | buffer overflow in sunrpc clnt_create via a     |
|            |                       |                        |                    | long pathname (CVE-2022-23219) For more details |
|            |                       |                        |                    | about the security issue(s), including the      |
|            |                       |                        |                    | impact, a CVSS score, acknowledgments, and      |
|            |                       |                        |                    | other related information, refer to the CVE     |
|            |                       |                        |                    | page(s) listed in the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2022:0896 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4464 | dnf-data               | 4.4.2-11.el8       | dnf is a package manager that allows users to   |
|            |                       |                        |                    | manage packages on their systems. It supports   |
|            |                       |                        |                    | RPMs, modules and comps groups & environments.  |
|            |                       |                        |                    | Security Fix(es): * libdnf: Signature           |
|            |                       |                        |                    | verification bypass via signature placed in     |
|            |                       |                        |                    | the main RPM header (CVE-2021-3445) For more    |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4464 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:2574 | rpm-build-libs         | 4.14.3-13.el8      | The RPM Package Manager (RPM) is a command-line |
|            |                       |                        |                    | driven package management system capable of     |
|            |                       |                        |                    | installing, uninstalling, verifying, querying,  |
|            |                       |                        |                    | and updating software packages. Security        |
|            |                       |                        |                    | Fix(es): * rpm: Signature checks bypass via     |
|            |                       |                        |                    | corrupted rpm package (CVE-2021-20271) For more |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to the     |
|            |                       |                        |                    | CVE page(s) listed in the References section.   |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:2574 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4587 | libstdc++              | 8.4.1-1.el8        | The gcc packages provide compilers for C, C++,  |
|            |                       |                        |                    | Java, Fortran, Objective C, and Ada 95 GNU,     |
|            |                       |                        |                    | as well as related support libraries. Security  |
|            |                       |                        |                    | Fix(es): * Developer environment: Unicode's     |
|            |                       |                        |                    | bidirectional (BiDi) override characters can    |
|            |                       |                        |                    | cause trojan source attacks (CVE-2021-42574)    |
|            |                       |                        |                    | The following changes were introduced in        |
|            |                       |                        |                    | gcc in order to facilitate detection of BiDi    |
|            |                       |                        |                    | Unicode characters: This update implements      |
|            |                       |                        |                    | a new warning option -Wbidirectional to         |
|            |                       |                        |                    | warn about possibly dangerous bidirectional     |
|            |                       |                        |                    | characters. There are three levels of warning   |
|            |                       |                        |                    | supported by gcc: "-Wbidirectional=unpaired",   |
|            |                       |                        |                    | which warns about improperly terminated         |
|            |                       |                        |                    | BiDi contexts. (This is the default.)           |
|            |                       |                        |                    | "-Wbidirectional=none", which turns the warning |
|            |                       |                        |                    | off. "-Wbidirectional=any", which warns about   |
|            |                       |                        |                    | any use of bidirectional characters. For more   |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to the     |
|            |                       |                        |                    | CVE page(s) listed in the References section.   |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4587 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:2574 | rpm                    | 4.14.3-13.el8      | The RPM Package Manager (RPM) is a command-line |
|            |                       |                        |                    | driven package management system capable of     |
|            |                       |                        |                    | installing, uninstalling, verifying, querying,  |
|            |                       |                        |                    | and updating software packages. Security        |
|            |                       |                        |                    | Fix(es): * rpm: Signature checks bypass via     |
|            |                       |                        |                    | corrupted rpm package (CVE-2021-20271) For more |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to the     |
|            |                       |                        |                    | CVE page(s) listed in the References section.   |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:2574 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4595 | binutils               | 2.30-93.el8        | The binutils packages provide a collection      |
|            |                       |                        |                    | of binary utilities for the manipulation of     |
|            |                       |                        |                    | object code in various object file formats. It  |
|            |                       |                        |                    | includes the ar, as, gprof, ld, nm, objcopy,    |
|            |                       |                        |                    | objdump, ranlib, readelf, size, strings, strip, |
|            |                       |                        |                    | and addr2line utilities. Security Fix(es): *    |
|            |                       |                        |                    | Developer environment: Unicode's bidirectional  |
|            |                       |                        |                    | (BiDi) override characters can cause trojan     |
|            |                       |                        |                    | source attacks (CVE-2021-42574) The following   |
|            |                       |                        |                    | changes were introduced in binutils in order    |
|            |                       |                        |                    | to facilitate detection of BiDi Unicode         |
|            |                       |                        |                    | characters: Tools which display names or        |
|            |                       |                        |                    | strings (readelf, strings, nm, objdump)         |
|            |                       |                        |                    | have a new command line option --unicode        |
|            |                       |                        |                    | / -U which controls how Unicode characters      |
|            |                       |                        |                    | are handled. Using "--unicode=default" will     |
|            |                       |                        |                    | treat them as normal for the tool. This is      |
|            |                       |                        |                    | the default behaviour when --unicode option     |
|            |                       |                        |                    | is not used. Using "--unicode=locale" will      |
|            |                       |                        |                    | display them according to the current locale.   |
|            |                       |                        |                    | Using "--unicode=hex" will display them as      |
|            |                       |                        |                    | hex byte values. Using "--unicode=escape" will  |
|            |                       |                        |                    | display them as Unicode escape sequences. Using |
|            |                       |                        |                    | "--unicode=highlight" will display them as      |
|            |                       |                        |                    | Unicode escape sequences highlighted in red,    |
|            |                       |                        |                    | if supported by the output device. For more     |
|            |                       |                        |                    | details about the security issue(s), including  |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to the     |
|            |                       |                        |                    | CVE page(s) listed in the References section.   |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4595 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
| [1;31mUnapproved[0m | Medium RHSA-2021:4364 | binutils               | 2.30-93.el8        | The binutils packages provide a collection      |
|            |                       |                        |                    | of binary utilities for the manipulation of     |
|            |                       |                        |                    | object code in various object file formats.     |
|            |                       |                        |                    | It includes the ar, as, gprof, ld, nm,          |
|            |                       |                        |                    | objcopy, objdump, ranlib, readelf, size,        |
|            |                       |                        |                    | strings, strip, and addr2line utilities.        |
|            |                       |                        |                    | Security Fix(es): * binutils: Excessive         |
|            |                       |                        |                    | debug section size can cause excessive          |
|            |                       |                        |                    | memory consumption in bfd's dwarf2.c            |
|            |                       |                        |                    | read_section() (CVE-2021-3487) * binutils:      |
|            |                       |                        |                    | Race window allows users to own arbitrary       |
|            |                       |                        |                    | files (CVE-2021-20197) * binutils: Heap-based   |
|            |                       |                        |                    | buffer overflow in bfd_getl_signed_32() in      |
|            |                       |                        |                    | libbfd.c because sh_entsize is not validated    |
|            |                       |                        |                    | in _bfd_elf_slurp_secondary_reloc_section()     |
|            |                       |                        |                    | in elf.c (CVE-2020-35448) * binutils:           |
|            |                       |                        |                    | Heap-based buffer overflow in                   |
|            |                       |                        |                    | _bfd_elf_slurp_secondary_reloc_section in       |
|            |                       |                        |                    | elf.c (CVE-2021-20284) For more details         |
|            |                       |                        |                    | about the security issue(s), including          |
|            |                       |                        |                    | the impact, a CVSS score, acknowledgments,      |
|            |                       |                        |                    | and other related information, refer to         |
|            |                       |                        |                    | the CVE page(s) listed in the References        |
|            |                       |                        |                    | section. Additional Changes: For detailed       |
|            |                       |                        |                    | information on changes in this release, see     |
|            |                       |                        |                    | the Red Hat Enterprise Linux 8.5 Release        |
|            |                       |                        |                    | Notes linked from the References section.       |
|            |                       |                        |                    | https://access.redhat.com/errata/RHSA-2021:4364 |
+------------+-----------------------+------------------------+--------------------+-------------------------------------------------+
